TimeStamp;X;Y
02.09.2014 12:16:27,196;15752818;2068000
02.09.2014 12:16:27,707;16226481;2377104
02.09.2014 12:16:28,203;16567912;2662406
02.09.2014 12:16:28,725;16827393;2971488
02.09.2014 12:16:29,224;16965600;3256825
02.09.2014 12:16:29,735;17006050;3565889
02.09.2014 12:16:30,230;17004325;3874994
02.09.2014 12:16:30,746;17002293;4160267
02.09.2014 12:16:31,252;17002781;4419337
02.09.2014 12:16:31,763;17002006;4565284
02.09.2014 12:16:32,258;17002100;4605081
02.09.2014 12:16:32,769;17002300;4605023
02.09.2014 12:16:33,265;17002331;4604970
02.09.2014 12:16:33,796;17002200;4604965
02.09.2014 12:16:34,286;17002300;4604965
02.09.2014 12:16:34,801;17002300;4604965
02.09.2014 12:16:35,307;17002200;4604965
02.09.2014 12:16:35,815;17002300;4604965
02.09.2014 12:16:36,322;17002287;4604965
02.09.2014 12:16:36,835;17002300;4604965
02.09.2014 12:16:37,328;17002300;4604965
02.09.2014 12:16:37,839;17002300;4604965
02.09.2014 12:16:38,345;17002300;4604965
02.09.2014 12:16:38,865;17002300;4604965
02.09.2014 12:16:39,355;17002306;4604965
02.09.2014 12:16:39,867;17002300;4604965
02.09.2014 12:16:40,373;17002300;4604965
02.09.2014 12:16:40,890;17002300;4603627
02.09.2014 12:16:41,397;17002206;4571552
02.09.2014 12:16:41,909;17002400;4530087
02.09.2014 12:16:42,403;17002400;4523965
02.09.2014 12:16:42,913;17001843;4519947
02.09.2014 12:16:43,407;17002093;4492930
02.09.2014 12:16:43,935;17002087;4484970
02.09.2014 12:16:44,430;17002100;4485116
02.09.2014 12:16:44,939;17002100;4485127
02.09.2014 12:16:45,465;17002112;4485127
02.09.2014 12:16:45,959;17002100;4485127
02.09.2014 12:16:46,471;17001993;4485127
02.09.2014 12:16:46,981;17002100;4485127
02.09.2014 12:16:47,494;17001993;4485127
02.09.2014 12:16:47,981;17002081;4485127
02.09.2014 12:16:48,504;17002100;4485127
02.09.2014 12:16:49,005;17002100;4485127
02.09.2014 12:16:49,513;17002100;4485127
02.09.2014 12:16:50,025;17002100;4485127
02.09.2014 12:16:50,526;17002100;4485127
02.09.2014 12:16:51,026;17001993;4485127
02.09.2014 12:16:51,539;17002100;4485127
02.09.2014 12:16:52,038;17002100;4485127
02.09.2014 12:16:52,556;17002100;4485127
02.09.2014 12:16:53,047;17002087;4485127
02.09.2014 12:16:53,574;17001993;4485127
02.09.2014 12:16:54,070;17001993;4485127
02.09.2014 12:16:54,584;17002100;4485127
02.09.2014 12:16:55,096;17002100;4485127
02.09.2014 12:16:55,622;17002125;4485127
02.09.2014 12:16:56,107;17002000;4485127
02.09.2014 12:16:56,644;17002106;4485127
02.09.2014 12:16:57,115;17002118;4485127
02.09.2014 12:16:57,669;17002125;4485127
02.09.2014 12:16:58,127;17002093;4485127
02.09.2014 12:16:58,678;17002100;4485127
02.09.2014 12:16:59,146;17001993;4485127
02.09.2014 12:16:59,705;17002093;4485127
02.09.2014 12:17:00,156;17002093;4485127
02.09.2014 12:17:00,674;17002100;4485127
02.09.2014 12:17:01,189;17002100;4485127
02.09.2014 12:17:01,696;17002000;4485127
02.09.2014 12:17:02,209;17002100;4485127
02.09.2014 12:17:02,727;17002100;4485127
02.09.2014 12:17:03,240;17002000;4485127
02.09.2014 12:17:03,749;17001968;4485127
02.09.2014 12:17:04,264;17002100;4485127
02.09.2014 12:17:04,760;17002112;4485127
02.09.2014 12:17:05,273;17002006;4485127
02.09.2014 12:17:05,769;17001987;4485127
02.09.2014 12:17:06,284;17002112;4485127
02.09.2014 12:17:06,785;17002106;4485127
02.09.2014 12:17:07,302;17002106;4485127
02.09.2014 12:17:07,801;17002000;4485127
02.09.2014 12:17:08,315;17002000;4485127
02.09.2014 12:17:08,810;17002100;4485127
02.09.2014 12:17:09,335;17002000;4485127
02.09.2014 12:17:09,821;17002000;4485127
02.09.2014 12:17:10,338;17002000;4485127
02.09.2014 12:17:10,846;17002112;4485127
02.09.2014 12:17:11,348;17002000;4485127
02.09.2014 12:17:11,859;17002000;4485127
02.09.2014 12:17:12,373;17001981;4485127
02.09.2014 12:17:12,886;17002100;4485127
02.09.2014 12:17:13,405;17001993;4485127
02.09.2014 12:17:13,906;17002000;4485127
02.09.2014 12:17:14,436;17002100;4485127
02.09.2014 12:17:14,936;17001987;4485127
02.09.2014 12:17:15,444;17001993;4485127
02.09.2014 12:17:15,961;17002000;4485127
02.09.2014 12:17:16,451;17002000;4485127
02.09.2014 12:17:16,969;17002000;4485127
02.09.2014 12:17:17,481;17002000;4485127
02.09.2014 12:17:17,996;17002025;4485127
02.09.2014 12:17:18,498;17002000;4485127
02.09.2014 12:17:19,005;17002000;4485127
02.09.2014 12:17:19,517;17002000;4485127
02.09.2014 12:17:20,019;17002000;4485127
02.09.2014 12:17:20,531;17002000;4485127
02.09.2014 12:17:21,027;17002100;4485127
02.09.2014 12:17:21,541;17001993;4485127
02.09.2014 12:17:22,035;17001962;4485127
02.09.2014 12:17:22,554;17002018;4485127
02.09.2014 12:17:23,065;17002100;4485127
02.09.2014 12:17:23,567;17002000;4485127
02.09.2014 12:17:24,066;17002000;4485127
02.09.2014 12:17:24,578;17001987;4485127
02.09.2014 12:17:25,093;17001987;4485127
02.09.2014 12:17:25,606;17001993;4485127
02.09.2014 12:17:26,109;17002112;4485127
02.09.2014 12:17:26,615;17002100;4485127
02.09.2014 12:17:27,114;17002000;4485127
02.09.2014 12:17:27,624;17002000;4485127
02.09.2014 12:17:28,125;17002000;4485127
02.09.2014 12:17:28,639;17002100;4485127
02.09.2014 12:17:29,145;17002000;4485127
02.09.2014 12:17:29,647;17002100;4485127
02.09.2014 12:17:30,159;17002000;4485127
02.09.2014 12:17:30,672;17002000;4485127
02.09.2014 12:17:31,169;17002000;4485127
02.09.2014 12:17:31,682;17002000;4485127
02.09.2014 12:17:32,195;17001987;4485127
02.09.2014 12:17:32,714;17002000;4485127
02.09.2014 12:17:33,216;17002000;4485127
02.09.2014 12:17:33,749;17002006;4485127
02.09.2014 12:17:34,247;17001893;4485127
02.09.2014 12:17:34,759;17002000;4485127
02.09.2014 12:17:35,272;17002006;4485127
02.09.2014 12:17:35,768;17002000;4485127
02.09.2014 12:17:36,284;17001906;4485127
02.09.2014 12:17:36,777;17002000;4485127
02.09.2014 12:17:37,297;17002000;4485127
02.09.2014 12:17:37,803;17002012;4485127
02.09.2014 12:17:38,309;17001993;4485127
02.09.2014 12:17:38,812;17002000;4485127
02.09.2014 12:17:39,316;17001993;4485127
02.09.2014 12:17:39,828;17002000;4485127
02.09.2014 12:17:40,345;17002000;4485127
02.09.2014 12:17:40,843;17002000;4485127
02.09.2014 12:17:41,355;17001856;4485127
02.09.2014 12:17:41,856;17002000;4485127
02.09.2014 12:17:42,370;17001893;4485127
02.09.2014 12:17:42,865;17002000;4485127
02.09.2014 12:17:43,377;17002000;4485127
02.09.2014 12:17:43,887;17002000;4485127
02.09.2014 12:17:44,386;17002000;4485127
02.09.2014 12:17:44,895;17002000;4485127
02.09.2014 12:17:45,414;17002000;4485127
02.09.2014 12:17:45,909;17002006;4485127
02.09.2014 12:17:46,421;17002000;4485127
02.09.2014 12:17:46,935;17002000;4485127
02.09.2014 12:17:47,446;17002000;4485127
02.09.2014 12:17:47,947;17002000;4485127
02.09.2014 12:17:48,449;17001893;4485127
02.09.2014 12:17:48,957;17002000;4485127
02.09.2014 12:17:49,465;17001968;4485127
02.09.2014 12:17:49,983;17001993;4485127
02.09.2014 12:17:50,478;17001993;4485127
02.09.2014 12:17:50,993;17002000;4485127
02.09.2014 12:17:51,487;17001987;4485127
02.09.2014 12:17:52,007;17002000;4485127
02.09.2014 12:17:52,515;17002000;4485127
02.09.2014 12:17:53,016;17002000;4485127
02.09.2014 12:17:53,523;17002000;4485127
02.09.2014 12:17:54,025;17002000;4485127
02.09.2014 12:17:54,534;17001900;4485127
02.09.2014 12:17:55,050;17002000;4485127
02.09.2014 12:17:55,562;17002000;4485127
02.09.2014 12:17:56,064;17002000;4485127
02.09.2014 12:17:56,565;17002000;4485127
02.09.2014 12:17:57,084;17002000;4485127
02.09.2014 12:17:57,578;17002000;4485127
02.09.2014 12:17:58,092;17002000;4485127
02.09.2014 12:17:58,586;17002025;4485127
02.09.2014 12:17:59,100;17002000;4485127
02.09.2014 12:17:59,598;17002000;4485127
02.09.2014 12:18:00,118;17002000;4485127
02.09.2014 12:18:00,625;17002000;4485127
02.09.2014 12:18:01,126;17001993;4485127
02.09.2014 12:18:01,634;17002000;4485127
02.09.2014 12:18:02,151;17002006;4485127
02.09.2014 12:18:02,649;17001993;4485127
02.09.2014 12:18:03,161;17002000;4485127
02.09.2014 12:18:03,656;17002000;4485127
02.09.2014 12:18:04,214;17002000;4485127
02.09.2014 12:18:04,669;17002000;4485127
02.09.2014 12:18:05,197;17001900;4485127
02.09.2014 12:18:05,731;17001900;4485127
02.09.2014 12:18:06,207;17002000;4485127
02.09.2014 12:18:06,748;17002000;4485127
02.09.2014 12:18:07,221;17001868;4485127
02.09.2014 12:18:07,717;17002000;4485127
02.09.2014 12:18:08,241;17002000;4485127
02.09.2014 12:18:08,725;17001893;4485127
02.09.2014 12:18:09,256;17001993;4485127
02.09.2014 12:18:09,744;17002000;4485127
02.09.2014 12:18:10,266;17001900;4485127
02.09.2014 12:18:10,761;17002000;4485127
02.09.2014 12:18:11,264;17001900;4485127
02.09.2014 12:18:11,773;17002000;4485127
02.09.2014 12:18:12,296;17002006;4485127
02.09.2014 12:18:12,793;17002000;4485127
02.09.2014 12:18:13,306;17002025;4485127
02.09.2014 12:18:13,801;17002000;4485127
02.09.2014 12:18:14,320;17002006;4485127
02.09.2014 12:18:14,811;17001900;4485127
02.09.2014 12:18:15,330;17002000;4485127
02.09.2014 12:18:15,825;17001868;4485127
02.09.2014 12:18:16,340;17001893;4485127
02.09.2014 12:18:16,836;17002000;4485127
02.09.2014 12:18:17,364;17001912;4485127
02.09.2014 12:18:17,860;17002000;4485127
02.09.2014 12:18:18,373;17002000;4485127
02.09.2014 12:18:18,870;17002000;4485127
02.09.2014 12:18:19,386;17001862;4485127
02.09.2014 12:18:19,900;17002000;4485127
02.09.2014 12:18:20,397;17002000;4485127
02.09.2014 12:18:20,910;17001987;4485127
02.09.2014 12:18:21,421;17001887;4485127
02.09.2014 12:18:21,936;17001993;4485127
02.09.2014 12:18:22,430;17001900;4485127
02.09.2014 12:18:22,943;17002012;4485127
02.09.2014 12:18:23,439;17001875;4485127
02.09.2014 12:18:23,956;17002000;4485127
02.09.2014 12:18:24,463;17001900;4485127
02.09.2014 12:18:24,965;17002006;4485127
02.09.2014 12:18:25,477;17002056;4485127
02.09.2014 12:18:26,004;17002000;4485127
02.09.2014 12:18:26,510;17001906;4485127
02.09.2014 12:18:27,028;17002031;4485127
02.09.2014 12:18:27,544;17001900;4485127
02.09.2014 12:18:28,046;17001900;4485127
02.09.2014 12:18:28,562;17001943;4485127
02.09.2014 12:18:29,057;17001900;4485127
02.09.2014 12:18:29,569;17001906;4485127
02.09.2014 12:18:30,085;17002000;4485127
02.09.2014 12:18:30,585;17001993;4485127
02.09.2014 12:18:31,094;17002000;4485127
02.09.2014 12:18:31,607;17002000;4485127
02.09.2014 12:18:32,102;17001906;4485127
02.09.2014 12:18:32,614;17002006;4485127
02.09.2014 12:18:33,116;17002006;4485127
02.09.2014 12:18:33,628;17002000;4485127
02.09.2014 12:18:34,125;17001900;4485127
02.09.2014 12:18:34,640;17001893;4485127
02.09.2014 12:18:35,152;17002000;4485127
02.09.2014 12:18:35,664;17001900;4485127
02.09.2014 12:18:36,160;17001900;4485127
02.09.2014 12:18:36,672;17001887;4485127
02.09.2014 12:18:37,169;17001900;4485127
02.09.2014 12:18:37,681;17001906;4485127
02.09.2014 12:18:38,177;17001831;4485127
02.09.2014 12:18:38,697;17001887;4485127
02.09.2014 12:18:39,205;17002000;4485127
02.09.2014 12:18:39,705;17002000;4485127
02.09.2014 12:18:40,220;17001900;4485127
02.09.2014 12:18:40,733;17002000;4485127
02.09.2014 12:18:41,230;17001881;4485127
02.09.2014 12:18:41,741;17001893;4485127
02.09.2014 12:18:42,239;17001993;4485127
02.09.2014 12:18:42,750;17001850;4485127
02.09.2014 12:18:43,263;17001887;4485127
02.09.2014 12:18:43,768;17001768;4485127
02.09.2014 12:18:44,264;17001931;4485127
02.09.2014 12:18:44,780;17002006;4485127
02.09.2014 12:18:45,279;17001893;4485127
02.09.2014 12:18:45,796;17001893;4485127
02.09.2014 12:18:46,304;17002012;4485127
02.09.2014 12:18:46,805;17002000;4485127
02.09.2014 12:18:47,319;17002018;4485127
02.09.2014 12:18:47,836;17001893;4485127
02.09.2014 12:18:48,348;17001993;4485127
02.09.2014 12:18:48,866;17002000;4485127
02.09.2014 12:18:49,379;17001900;4485127
02.09.2014 12:18:49,875;17001893;4485127
02.09.2014 12:18:50,397;17001893;4485127
02.09.2014 12:18:50,908;17001893;4485127
02.09.2014 12:18:51,421;17001900;4485127
02.09.2014 12:18:51,932;17001900;4485127
02.09.2014 12:18:52,430;17001906;4485127
02.09.2014 12:18:52,942;17001900;4485127
02.09.2014 12:18:53,445;17001893;4485127
02.09.2014 12:18:53,952;17001900;4485127
02.09.2014 12:18:54,459;17001893;4485127
02.09.2014 12:18:54,966;17002006;4485127
02.09.2014 12:18:55,473;17001900;4485127
02.09.2014 12:18:55,986;17001906;4485127
02.09.2014 12:18:56,485;17001900;4485127
02.09.2014 12:18:57,003;17001893;4485127
02.09.2014 12:18:57,499;17002006;4485127
02.09.2014 12:18:58,010;17001906;4485127
02.09.2014 12:18:58,507;17001912;4485127
02.09.2014 12:18:59,019;17001900;4485127
02.09.2014 12:18:59,543;17002000;4485127
02.09.2014 12:19:00,047;17001800;4485127
02.09.2014 12:19:00,548;17001900;4485127
02.09.2014 12:19:01,048;17001900;4485127
02.09.2014 12:19:01,546;17001900;4485127
02.09.2014 12:19:02,073;17001893;4485127
02.09.2014 12:19:02,573;17001900;4485127
02.09.2014 12:19:03,081;17001925;4485127
02.09.2014 12:19:03,589;17001906;4485127
02.09.2014 12:19:04,093;17001900;4485127
02.09.2014 12:19:04,592;17001900;4485127
02.09.2014 12:19:05,110;17001900;4485127
02.09.2014 12:19:05,606;17001900;4485127
02.09.2014 12:19:06,119;17001893;4485127
02.09.2014 12:19:06,616;17001906;4485127
02.09.2014 12:19:07,155;17001881;4485127
02.09.2014 12:19:07,643;17001893;4485127
02.09.2014 12:19:08,153;17001900;4485127
02.09.2014 12:19:08,649;17001793;4485127
02.09.2014 12:19:09,163;17001900;4485127
02.09.2014 12:19:09,658;17001881;4485127
02.09.2014 12:19:10,176;17001900;4485127
02.09.2014 12:19:10,685;17001906;4485127
02.09.2014 12:19:11,185;17001900;4485127
02.09.2014 12:19:11,699;17001893;4485127
02.09.2014 12:19:12,213;17002006;4485127
02.09.2014 12:19:12,709;17001837;4485127
02.09.2014 12:19:13,223;17001900;4485127
02.09.2014 12:19:13,755;17001887;4485127
02.09.2014 12:19:14,232;17001906;4485127
02.09.2014 12:19:14,727;17001900;4485127
02.09.2014 12:19:15,284;17001900;4485127
02.09.2014 12:19:15,743;17001900;4485127
